sigma,label
27.395,0
34.673,0
32.573,0
33.084,0
36.725,0
35.294,0
36.475,0
30.403,0
36.268,0
33.653,0
29.128,0
24.765,0
35.557,0
26.197,0
36.821,0
35.12,0
35.944,0
32.729,0
34.712,0
24.567,0
35.733,0
36.705,0
32.054,0
31.009,0
27.811,0
35.174,0
30.608,0
28.75,0
32.463,0
33.316,0
32.646,0
34.519,0
35.584,0
31.939,0
30.703,0
36.384,0
34.274,0
34.417,0
29.811,0
35.18,0
35.559,0
32.468,0
27.923,0
24.671,0
35.669,0
26.895,0
26.22,0
35.773,0
29.797,0
18.44,0
33.511,0
36.921,0
36.926,0
33.581,0
35.42,0
29.908,0
31.343,0
32.025,0
31.44,0
31.909,0
28.034,0
24.337,0
32.719,0
29.198,0
36.44,0
36.263,0
30.845,0
30.383,0
36.627,0
30.666,0
33.483,0
32.098,0
28.832,0
12.0,0
